level,cluster_id,zone_name,centroid_lat,centroid_lon,polygon_wkt,lat_min,lat_max,lon_min,lon_max,count_points,nearest_muster_name,nearest_muster_lat,nearest_muster_lon,distance
2,1,Zone_2_1,51.46043372769223,-0.9330232515868936,"POLYGON ((-0.9330715093549401 51.46034574213575, -0.93307374 51.46034575, -0.9330748411402532 51.46034614198283, -0.9331191658162028 51.46036192063802, -0.9332141396458595 51.46039572932987, -0.9332149 51.460396, -0.9332147431619359 51.46039621417535, -0.9331538668380643 51.46047934582467, -0.93315371 51.46047956, -0.9330931343395356 51.46050483757887, -0.9329261547225944 51.46055363798485, -0.9328974383725088 51.4604858753135, -0.9328950474706077 51.46047687268815, -0.9328899194798371 51.460439039315936, -0.9328827286308736 51.46038498130866, -0.9328820741459452 51.46037961878305, -0.9328803123147134 51.46036196607903, -0.932884987558367 51.46035632013673, -0.932902129451808 51.46034632446757, -0.9330715093549401 51.46034574213575))",51.46034574213575,51.46055363798485,-0.9332149,-0.9328803123147134,20428,D,51.461,-0.9318,0.001347964677351431
2,2,Zone_2_2,51.460841293735335,-0.9324491542004143,"POLYGON ((-0.9326142993127521 51.46076904341612, -0.93241827 51.46090031, -0.9324180351727589 51.46090021559758, -0.9324125232807752 51.460897999772996, -0.9323123729857725 51.4608577385547, -0.9323123729857724 51.460857738554694, -0.9323123729857724 51.46085773855469, -0.9323261347640118 51.46085307966503, -0.9323920034589228 51.460833121096705, -0.9324308141260054 51.46082153279315, -0.9325689238979928 51.46078061464789, -0.9326142993127521 51.46076904341612))",51.46076904341612,51.46090031,-0.9326142993127521,-0.9323123729857724,73823,D,51.461,-0.9318,0.0006682730387790794
2,3,Zone_2_3,51.46065100474648,-0.932498573972872,"POLYGON ((-0.9324976038286745 51.4605716314851, -0.9325591031086178 51.46057309458585, -0.9326681593558213 51.46059060595687, -0.9327730939013769 51.46068444356111, -0.9327003243287674 51.46072050650315, -0.9324381799309067 51.46072646955252, -0.9323679826893397 51.46071758768568, -0.9323292214976725 51.46071201176528, -0.9323174400745022 51.4607098262924, -0.932313724252282 51.46070889636899, -0.9322790089015557 51.46069824104646, -0.9322655743214371 51.4606882072035, -0.9322679111314809 51.460610127533485, -0.9322823568625728 51.4605804268787, -0.9322847443558808 51.46058019352221, -0.9323772448989469 51.46057616027146, -0.9324976038286745 51.4605716314851))",51.4605716314851,51.46072646955252,-0.9327730939013769,-0.9322655743214371,11434,D,51.461,-0.9318,0.0007808990219945042
2,4,Zone_2_4,51.46046788971512,-0.9324194737487387,"POLYGON ((-0.93238749 51.46030032, -0.9324186787140809 51.46030432175193, -0.9324333245788279 51.46031620297514, -0.9325181316867552 51.46042049807338, -0.9325590848148146 51.46047154810965, -0.9325799277091068 51.460497590592276, -0.9326159854804171 51.46055054711878, -0.9326146342045192 51.460552668245924, -0.9325882291842761 51.460565879807824, -0.9324215492972567 51.460574392598815, -0.9324066822991963 51.46057500939611, -0.9322950229451082 51.46057924133857, -0.9322845323147295 51.460579538264724, -0.9322827485385492 51.460578983470846, -0.9322799093496541 51.46055606257957, -0.9322804928638502 51.46047037959791, -0.93228554 51.46041432, -0.9323722609147478 51.460317349089934, -0.93238749 51.46030032))",51.46030032,51.460579538264724,-0.9326159854804171,-0.9322799093496541,12984,D,51.461,-0.9318,0.0008166327697631928
2,5,Zone_2_5,51.46077710813778,-0.9323574926629699,"POLYGON ((-0.9322647813621182 51.4607032911787, -0.9322654000000001 51.46070336499999, -0.9323054660557568 51.46070866335723, -0.9323845184919732 51.4607201061132, -0.9324083983415039 51.460723638600285, -0.9325129639690838 51.46074847012244, -0.9325113898677673 51.46075566828619, -0.9324533399802977 51.46081231963013, -0.9323786799325048 51.460836035671335, -0.9323132320055607 51.46085496837582, -0.9323074765313089 51.4608557701409, -0.9323074765313086 51.4608557701409, -0.9322939575334712 51.46085033539583, -0.9322684684620991 51.46084008858561, -0.9322552483931552 51.46083477401233, -0.9322484441401493 51.460832038648284, -0.93224795 51.46083184, -0.932248209202155 51.46082896098739, -0.9322487319175812 51.46082315507771, -0.9322492183136194 51.46081775257508, -0.932251190873516 51.46079584293933, -0.9322574986868206 51.46074738321126, -0.9322647813621182 51.4607032911787))",51.4607032911787,51.4608557701409,-0.9325129639690838,-0.93224795,41935,D,51.461,-0.9318,0.0006003989103146297
2,6,Zone_2_6,51.46044470537547,-0.9327022468537912,"POLYGON ((-0.9324472236491744 51.46032387053883, -0.9326328044239885 51.46032555038476, -0.9328648106368505 51.460357450044334, -0.9328787437154153 51.46036149424567, -0.9328802404645151 51.460368229426145, -0.9328894895503178 51.460435921422174, -0.9328931303759735 51.46046334778548, -0.9328955511064992 51.460485289406584, -0.9327777421071267 51.46060889746685, -0.9327204064326775 51.460600671013225, -0.9326587135852678 51.46057170765447, -0.9326309578425459 51.46055254295831, -0.932611635662935 51.46053093601565, -0.9325712852594815 51.460484317866126, -0.9325616484731268 51.46047239603253, -0.9324472236491744 51.46032387053883))",51.46032387053883,51.46060889746685,-0.9328955511064992,-0.9324472236491744,9252,D,51.461,-0.9318,0.0010594345214328526
3,1,Zone_3_1,51.46049058738732,-0.9328330565434341,"POLYGON ((-0.9328268259726719 51.46045748689593, -0.9328381821153434 51.46045850528701, -0.9328650470442628 51.46046161580396, -0.9329287341209614 51.4604692907569, -0.9330303943170741 51.46048167286408, -0.933062244282325 51.4604871997826, -0.9330512081065596 51.4604936389992, -0.9330324692554909 51.46049668729319, -0.9328726705353474 51.46052268213536, -0.93286961 51.46052318, -0.9328679935129938 51.46052312365782, -0.9327672170720203 51.46051961112398, -0.9327050734785306 51.460517445126904, -0.9326903106091404 51.46051693057134, -0.9326748800948257 51.4605163927452, -0.9326661508011403 51.46051377397625, -0.9326656129483102 51.46051019882549, -0.9326787055325131 51.46047910508112, -0.9326851082543778 51.46046465644983, -0.9326872807813765 51.46046259859179, -0.9326940435403358 51.46046182365873, -0.9326995924178543 51.46046125951556, -0.9327065868837618 51.46046102404907, -0.9327502007887634 51.46045971356213, -0.9328136755845458 51.46045783738656, -0.9328268259726719 51.46045748689593))",51.46045748689593,51.46052318,-0.933062244282325,-0.9326656129483102,52638,,,,
3,2,Zone_3_2,51.460368567189214,-0.9323404199792671,"POLYGON ((-0.93223681 51.46033603, -0.9322536117634416 51.460337596955355, -0.9324788776763808 51.46036270240992, -0.9324777862075446 51.46037116587044, -0.9324764988429517 51.460375079162894, -0.9324566247867284 51.46037889603466, -0.9324308632583621 51.46038236707813, -0.9323421835799472 51.460392494007856, -0.9322654168013971 51.4603994733267, -0.9322611480169978 51.46039000614163, -0.9322521740052484 51.46037010384108, -0.93223681 51.46033603))",51.46033603,51.4603994733267,-0.9324788776763808,-0.93223681,3592,,,,
3,3,Zone_3_3,51.46042599928967,-0.9327826113311285,"POLYGON ((-0.9327753937121012 51.460389433257376, -0.9328961008526713 51.46039751636293, -0.9329360876647447 51.46040124558749, -0.9329472327114188 51.460402284989726, -0.9329702396702879 51.46040699479485, -0.9329697882954381 51.460407735237844, -0.9329558710602668 51.46041304915383, -0.9329439661148712 51.460417479304596, -0.9329105173377696 51.460429020665565, -0.9328772203180669 51.46044048191841, -0.9328708356941571 51.46044267441902, -0.9328310887053044 51.46045630484733, -0.9328304648408022 51.4604564677607, -0.9328290466305847 51.4604568213105, -0.9328243701245521 51.46045712907305, -0.9328137448384162 51.46045767342278, -0.9327423263739439 51.46045977705082, -0.9327030040252139 51.46046091109134, -0.9326894491192668 51.460460983940834, -0.9326809551579746 51.46046017034871, -0.9326757018695815 51.46045950675911, -0.9326513592506297 51.460456266940454, -0.93262905891636 51.46045312973045, -0.9326121467642239 51.4604507484326, -0.9326076202141269 51.460449338210566, -0.9326057395819164 51.46044847342122, -0.9326065278483108 51.460447527169386, -0.9326261666834481 51.46043855297537, -0.9326349010187643 51.46043473074374, -0.9326921712610541 51.460409778571936, -0.932727675919773 51.460395270689624, -0.93273697307697 51.46039158906896, -0.9327753937121012 51.460389433257376))",51.460389433257376,51.460460983940834,-0.9329702396702879,-0.9326057395819164,45786,,,,
3,4,Zone_3_4,51.46047863984531,-0.9324878536332533,"POLYGON ((-0.9322860074520734 51.460445138669, -0.9324072434095574 51.46044656246695, -0.9325754906693359 51.46044893084425, -0.9326074473026362 51.46045019301729, -0.9326521356363763 51.46045657548671, -0.9326769908450036 51.46046024753307, -0.9326799225707691 51.46046100893801, -0.9326809959468344 51.46046158586382, -0.9326827503778257 51.46046543389434, -0.9326806448223223 51.46047396793371, -0.9326772568851186 51.460481706684575, -0.9326687914765112 51.46050095875406, -0.9326649646057827 51.46050922924543, -0.9326619187523282 51.46051436392283, -0.9326254619185892 51.46051467028889, -0.9326083097426778 51.460514072454735, -0.9323552962168811 51.46050525374112, -0.9323272125959992 51.46050427489459, -0.93231244 51.46050376, -0.9323110472318131 51.460500671159494, -0.9323101774238485 51.460498742124855, -0.9323051400658812 51.46048757041982, -0.9322860074520734 51.460445138669))",51.460445138669,51.46051467028889,-0.9326827503778257,-0.9322860074520734,97203,,,,
3,5,Zone_3_5,51.46044919477652,-0.9330095390466255,"POLYGON ((-0.932989172835111 51.460406196382785, -0.9330354251039102 51.460410509932366, -0.93304454 51.46041136, -0.9330484817828077 51.46041321272168, -0.933098281914897 51.46043661984205, -0.9331749851343788 51.460472671985215, -0.9331763 51.46047329, -0.9331754102169895 51.46047343474315, -0.9331432040762165 51.46047867379354, -0.9331351213305195 51.46047998863322, -0.9330969702864043 51.46048385695575, -0.9330809965997224 51.4604849128244, -0.9330082042274643 51.460477969036354, -0.9329427488350395 51.460470829166326, -0.9329043897085607 51.46046626363194, -0.9328317984441833 51.46045759044111, -0.9328311396315251 51.46045647788101, -0.9328354563995056 51.460454814182974, -0.932897886426083 51.4604334738399, -0.9329133198586463 51.46042824991268, -0.9329707879006198 51.4604088075643, -0.9329771230911789 51.46040749172893, -0.932989172835111 51.460406196382785))",51.460406196382785,51.4604849128244,-0.9331763,-0.9328311396315251,46467,,,,
3,6,Zone_3_6,51.46041147070824,-0.9325053862623901,"POLYGON ((-0.9325907517588848 51.46036903909053, -0.9327434716020846 51.460386582404624, -0.932718529290096 51.46039784627194, -0.932698260843025 51.46040690519649, -0.9326263289846632 51.46043831302733, -0.9326139989071224 51.460443692847136, -0.9326024954906191 51.46044794580471, -0.9325826316618312 51.460448756182004, -0.9325355567058315 51.46044830603935, -0.9323642627089933 51.46044549106656, -0.9323481665210933 51.460444535044786, -0.932339151451534 51.460443990520425, -0.9322815922387396 51.46043534673812, -0.9322792994515192 51.46043026186174, -0.9323050446948957 51.46040299772139, -0.9323282935417817 51.46039769312837, -0.932357292532571 51.460393030233206, -0.9323915881893058 51.46038846644345, -0.9324312030740416 51.46038354133958, -0.9324440217692876 51.46038204808385, -0.9325907517588848 51.46036903909053))",51.46036903909053,51.460448756182004,-0.9327434716020846,-0.9322792994515192,50264,,,,
0,1,Zone_0_1,51.46051933451547,-0.9323970363020925,"POLYGON ((-0.9323688338327459 51.460373606805035, -0.9323810017233536 51.46038321424469, -0.9324715594931883 51.46046552984494, -0.9324865157038248 51.460479226636856, -0.9324983010226592 51.46049008128754, -0.9325164999531506 51.46050816327725, -0.9325354646557884 51.460527527970655, -0.9325725180760601 51.46057694293845, -0.9325665917723774 51.460616015707096, -0.9324463491673413 51.46061438524529, -0.9323296512817951 51.46060485283233, -0.9323059658499576 51.46060266960649, -0.9322751161573319 51.46059966162881, -0.9322667076989528 51.460598478683465, -0.9322648364435495 51.460596322754235, -0.9322603083866068 51.460542541525946, -0.932276498452117 51.46045012557966, -0.93227792 51.46044376, -0.9322795396261468 51.46044176191234, -0.9322847314780619 51.46043535686931, -0.9322886433426144 51.46043053091103, -0.932348964078035 51.46037726891353, -0.9323590296121264 51.460374319614175, -0.9323688338327459 51.460373606805035))",51.460373606805035,51.460616015707096,-0.9325725180760601,-0.9322603083866068,24021,A,51.4605,-0.9325,0.00010476328829808168
0,2,Zone_0_2,51.460683422413396,-0.9323853183420637,"POLYGON ((-0.9322831271758251 51.4606022829704, -0.9323255061324361 51.460604976034745, -0.9323399384423903 51.46060604283652, -0.9323585778822967 51.46060753742783, -0.9323949349531576 51.46061061861075, -0.9324709389388188 51.460620612759534, -0.932551893683437 51.46063296571961, -0.9325776862751632 51.46066925827031, -0.9325058942796233 51.460726964088465, -0.9323729958944085 51.460783241326844, -0.9323630868937878 51.460783362663975, -0.932286986855385 51.460749521747005, -0.9322418748785225 51.46072635360396, -0.932231935 51.460720475, -0.9322323559298794 51.46069955968718, -0.9322337373170888 51.4606768884424, -0.9322435032943349 51.460631972456234, -0.9322582140729381 51.4606084828902, -0.9322646829947452 51.460603778524735, -0.9322831271758251 51.4606022829704))",51.4606022829704,51.460783362663975,-0.9325776862751632,-0.932231935,10890,A,51.4605,-0.9325,0.00021632305564112735
0,3,Zone_0_3,51.46047075979475,-0.9329349558061415,"POLYGON ((-0.9329175526593491 51.460380389582944, -0.9330825606255213 51.460385573196426, -0.93313945 51.46038837, -0.9331318886502781 51.460474335428955, -0.933129645101698 51.460499842464486, -0.93312872 51.46051036, -0.9331252604406161 51.46051137917542, -0.9327986835439258 51.46059880151979, -0.9327516395274201 51.460472054868625, -0.9327726372456656 51.46039621419464, -0.9327815110024585 51.46038562318456, -0.9329175526593491 51.460380389582944))",51.460380389582944,51.46059880151979,-0.93313945,-0.9327516395274201,5803,B,51.4609,-0.933,0.00043414041617627293
0,4,Zone_0_4,51.460422947489015,-0.9325864915810297,"POLYGON ((-0.93237729 51.46032117, -0.9325014513610345 51.46032157038597, -0.93252614 51.46032165, -0.9327354388331215 51.46035044660659, -0.9327705232932997 51.46039200100951, -0.9327511733141542 51.46046442769237, -0.9327460567426141 51.460480867161216, -0.9327273082875415 51.460518011861474, -0.9326809383132191 51.46057352272679, -0.9325862163270469 51.46053399497198, -0.9325125745944889 51.460496037408596, -0.9324908438463968 51.46048223856149, -0.9324678798976102 51.460462010818574, -0.9324283555216 51.46042550746163, -0.9323654251899477 51.460365574863104, -0.9323603484101134 51.46035965119336, -0.9323589544566748 51.46035129340969, -0.9323653188892745 51.46033593842572, -0.932367698641367 51.460333002591874, -0.93237729 51.46032117))",51.46032117,51.46057352272679,-0.9327705232932997,-0.9323589544566748,17131,A,51.4605,-0.9325,0.00011583558623608007
0,5,Zone_0_5,51.4608729121974,-0.9323618254369688,"POLYGON ((-0.9323928837452742 51.46079018128432, -0.9324497886875637 51.46080894530474, -0.9324498379566738 51.46085512153513, -0.9324197009060345 51.4609113500565, -0.93238226 51.46093752, -0.9323185444376543 51.46093904674017, -0.9322610445556028 51.46094042454138, -0.9322547311127127 51.46093575437552, -0.9322499485647768 51.460918859369286, -0.9322584411495252 51.46090877919997, -0.9322872968121271 51.46087597143204, -0.9323160689681268 51.460843822336365, -0.9323622745224243 51.460796280013014, -0.9323697003351339 51.4607917374731, -0.9323928837452742 51.46079018128432))",51.46079018128432,51.46094042454138,-0.9324498379566738,-0.9322499485647768,12728,A,51.4605,-0.9325,0.00039768796416010904
0,6,Zone_0_6,51.46083309468135,-0.9322532533773082,"POLYGON ((-0.9322323392798115 51.46072589050145, -0.9322999918778369 51.46075599289814, -0.9323640220917423 51.46078698063163, -0.9323634004873933 51.460788906138625, -0.9322577656717178 51.460909308181755, -0.9322478340229179 51.460919580832815, -0.9322187401364799 51.46093685878097, -0.9321769721909489 51.460942235542, -0.932173779897487 51.46094251556049, -0.9321729547590967 51.4609425353323, -0.9321678150023816 51.46094265849017, -0.9321665 51.46094269, -0.9321672682975289 51.46093924962407, -0.9321685518607878 51.460933501928714, -0.9321898648276082 51.460847973617334, -0.9322303807806422 51.46072896044484, -0.9322323392798115 51.46072589050145))",51.46072589050145,51.46094269,-0.9323640220917423,-0.9321665,26263,A,51.4605,-0.9325,0.0004145310151846881
1,1,Zone_1_1,51.46044757254066,-0.9326769703478524,"POLYGON ((-0.93254916 51.46034277, -0.9328039316814173 51.460359864359816, -0.9328484440845419 51.46036539480756, -0.9328845206888751 51.460372963507815, -0.9328771175752876 51.460400898909, -0.932876786808479 51.460401905148856, -0.9328623659393278 51.46044353005192, -0.9328563179951208 51.4604608927394, -0.9328449807605476 51.46048943947089, -0.9328373181849415 51.46050644062547, -0.9326961623898922 51.46060333526408, -0.9326725959022638 51.46059735422644, -0.9326124294133061 51.46055793933816, -0.9325505709112174 51.46049478891455, -0.9325046933761683 51.460442813553556, -0.9324510771084048 51.4603798300095, -0.9324446660469325 51.46036062015856, -0.9324706377165972 51.46034927711318, -0.93254916 51.46034277))",51.46034277,51.46060333526408,-0.9328845206888751,-0.9324446660469325,8457,C,51.4612,-0.932,0.0010121442256117092
1,2,Zone_1_2,51.46048600410694,-0.9323866134631095,"POLYGON ((-0.93232622 51.46032705, -0.9323799351942266 51.46033083757895, -0.9324028516925692 51.460345351365966, -0.9324521226598068 51.46038456378478, -0.9324649355441755 51.46039741088517, -0.9325358342907535 51.4604804958401, -0.9325519036600444 51.46049940085465, -0.9325805655194557 51.460534755545055, -0.9326117391382307 51.46057973450063, -0.9323255575307522 51.46058635920435, -0.932249281490883 51.46058805302485, -0.932213931828269 51.46058866762139, -0.9322109431289878 51.46058589553335, -0.9322068358396598 51.46058134941205, -0.9322059872254452 51.46058003388141, -0.9322067087065755 51.46056262003647, -0.9322071048601646 51.46055796181668, -0.93220727 51.46055602, -0.9322076418270042 51.46055503970828, -0.9322386302727005 51.46047334118696, -0.93224022 51.46046915, -0.9322405024080022 51.46046868337003, -0.9322409788259807 51.46046789617242, -0.93232622 51.46032705))",51.46032705,51.46058866762139,-0.9326117391382307,-0.9322059872254452,7399,C,51.4612,-0.932,0.0008119483389730694
1,3,Zone_1_3,51.46078720302644,-0.9323079857323513,"POLYGON ((-0.9322189473093103 51.46071509079953, -0.9322344065545228 51.460715943189456, -0.9322412439247667 51.46071663661137, -0.9322434757759916 51.46071701340762, -0.9322736074899948 51.4607222291164, -0.9323293885366598 51.46073227458609, -0.93234056809406 51.4607344255201, -0.9324773244560436 51.460764129013505, -0.932463139102119 51.460783402791144, -0.9323885667514701 51.46084663716252, -0.932366589406425 51.4608481961203, -0.9323351008428652 51.46084793535461, -0.9323195084102431 51.46084772826121, -0.9322695832254798 51.46084693021654, -0.9322305750714229 51.46084621039871, -0.9322018666383427 51.46084567196361, -0.9321912927628082 51.460845082094494, -0.9321861405186121 51.460844001838396, -0.932186140518612 51.46084400183838, -0.9321861248793808 51.4608289287473, -0.9321861013235336 51.46080622562177, -0.9321861 51.46080495, -0.9321875511320376 51.46078788668879, -0.9321881433638144 51.46078092285997, -0.9321886503513541 51.46077496138581, -0.9321901533750597 51.46075896307922, -0.9321980591798352 51.46072844900737, -0.932216324999381 51.46071667979242, -0.9322189473093103 51.46071509079953))",51.46071509079953,51.4608481961203,-0.9324773244560436,-0.9321861,31379,C,51.4612,-0.932,0.0005150306327872223
1,4,Zone_1_4,51.46065917516174,-0.9324264378693515,"POLYGON ((-0.9324506773973122 51.460584997641234, -0.9325368591486242 51.46058656615213, -0.9325470165146506 51.46058886765865, -0.9327173578732513 51.460632753881825, -0.9325800824233976 51.460713938986686, -0.9324944829166764 51.46075343064958, -0.9323742492445128 51.460739363440766, -0.9323509470915397 51.46073566393752, -0.932253908825804 51.460718520075105, -0.9322283811372701 51.46071384384588, -0.9322230019218128 51.46071247385987, -0.9322054507446639 51.46069770529885, -0.9322051581639934 51.460693695438025, -0.9322015514732059 51.460623261987486, -0.93220205503578 51.46061734078618, -0.9322054577318087 51.460589946143344, -0.9322414166925578 51.46058885681628, -0.9322679128545098 51.46058808345466, -0.9323674804256419 51.46058553050256, -0.9324506773973122 51.460584997641234))",51.460584997641234,51.46075343064958,-0.9327173578732513,-0.9322015514732059,6694,C,51.4612,-0.932,0.0006887240101062545
1,5,Zone_1_5,51.46044524302797,-0.9330349715264196,"POLYGON ((-0.9328886455512285 51.46036961848346, -0.9331805361095027 51.46037612457512, -0.93323648 51.46037854, -0.93322055 51.46049427, -0.9328893344491939 51.46053113741919, -0.9328392767664071 51.460517481122665, -0.9328472681533256 51.46049010275891, -0.9328519853640503 51.46047425158196, -0.9328761475641877 51.46040401535566, -0.9328859437805337 51.46037633153948, -0.9328886455512285 51.46036961848346))",51.46036961848346,51.46053113741919,-0.93323648,-0.9328392767664071,15567,C,51.4612,-0.932,0.001280946582541661
1,6,Zone_1_6,51.460897494686,-0.9322649671241481,"POLYGON ((-0.9322025811412258 51.460845873351516, -0.9322875613628201 51.46084743530057, -0.9323435080188578 51.46084935629901, -0.9323589903837975 51.46085249811183, -0.932363757274777 51.46085487371065, -0.9323645360808293 51.46085609821702, -0.93235581 51.46088968, -0.9323252941297338 51.46092831040827, -0.93229387 51.46096035, -0.932291016603763 51.46096006285746, -0.9321908616314665 51.46094998407703, -0.9321891033962372 51.46094980714256, -0.9321863657673656 51.46094953164989, -0.93218625 51.46094952, -0.9321862370675437 51.46093705569874, -0.9321861524247279 51.46085547695297, -0.9321861442961361 51.46084764261609, -0.9321911675746284 51.46084615649405, -0.9322025811412258 51.460845873351516))",51.460845873351516,51.46096035,-0.9323645360808293,-0.9321861442961361,4924,C,51.4612,-0.932,0.00040214057476878334
